"","word","sentiment","n","date"
"1","free","positive",717,2021-04-02
"2","gold","positive",345,2021-04-02
"3","cashback","positive",307,2021-04-02
"4","top","positive",271,2021-04-02
"5","hodl","positive",249,2021-04-02
"6","ready","positive",224,2021-04-02
"7","hot","positive",197,2021-04-02
"8","bullish","positive",165,2021-04-02
"9","win","positive",152,2021-04-02
"10","love","positive",147,2021-04-02
"11","kindly","positive",144,2021-04-02
"12","worth","positive",132,2021-04-02
"13","easy","positive",108,2021-04-02
"14","recommended","positive",106,2021-04-02
"15","resistance","negative",105,2021-04-02
"16","happy","positive",104,2021-04-02
"17","support","positive",104,2021-04-02
"18","fomo","negative",94,2021-04-02
"19","success","positive",90,2021-04-02
"20","break","negative",87,2021-04-02
"21","dent","negative",87,2021-04-02
"22","strong","positive",86,2021-04-02
"23","amazing","positive",77,2021-04-02
"24","rich","positive",76,2021-04-02
"25","enjoy","positive",70,2021-04-02
"26","hard","negative",69,2021-04-02
"27","fun","positive",68,2021-04-02
"28","smart","positive",67,2021-04-02
"29","volatility","negative",67,2021-04-02
"30","miss","negative",64,2021-04-02
"31","glad","positive",63,2021-04-02
"32","nice","positive",60,2021-04-02
"33","trust","positive",58,2021-04-02
"34","freedom","positive",57,2021-04-02
"35","risk","negative",54,2021-04-02
"36","exciting","positive",52,2021-04-02
"37","die","negative",49,2021-04-02
"38","gains","positive",49,2021-04-02
"39","breaks","negative",48,2021-04-02
"40","safe","positive",48,2021-04-02
"41","wrong","negative",48,2021-04-02
"42","fast","positive",47,2021-04-02
"43","broke","negative",45,2021-04-02
"44","stellar","positive",45,2021-04-02
"45","breaking","negative",44,2021-04-02
"46","bs","negative",44,2021-04-02
"47","congratulations","positive",42,2021-04-02
"48","bearish","negative",39,2021-04-02
"49","luck","positive",39,2021-04-02
"50","lost","negative",36,2021-04-02
"51","lucky","positive",36,2021-04-02
"52","secure","positive",36,2021-04-02
"53","boom","positive",34,2021-04-02
"54","scam","negative",33,2021-04-02
"55","dump","negative",32,2021-04-02
"56","reward","positive",32,2021-04-02
"57","crazy","negative",31,2021-04-02
"58","poor","negative",31,2021-04-02
"59","shit","negative",31,2021-04-02
"60","super","positive",31,2021-04-02
"61","fuck","negative",30,2021-04-02
"62","gain","positive",30,2021-04-02
"63","bonus","positive",29,2021-04-02
"64","excited","positive",29,2021-04-02
"65","gem","positive",29,2021-04-02
"66","favorite","positive",28,2021-04-02
"67","joke","negative",28,2021-04-02
"68","awesome","positive",27,2021-04-02
"69","bad","negative",27,2021-04-02
"70","savings","positive",27,2021-04-02
"71","successful","positive",27,2021-04-02
"72","cool","positive",26,2021-04-02
"73","discord","negative",26,2021-04-02
"74","boost","positive",25,2021-04-02
"75","impossible","negative",25,2021-04-02
"76","wow","positive",25,2021-04-02
"77","hype","negative",23,2021-04-02
"78","lose","negative",23,2021-04-02
"79","stable","positive",23,2021-04-02
"80","valor","positive",23,2021-04-02
"81","afford","positive",22,2021-04-02
"82","wonderful","positive",22,2021-04-02
"83","cheap","negative",21,2021-04-02
"84","crash","negative",21,2021-04-02
"85","difficulty","negative",21,2021-04-02
