"","word","sentiment","n","date"
"1","free","positive",151,2021-03-07
"2","worth","positive",60,2021-03-07
"3","ready","positive",55,2021-03-07
"4","gold","positive",53,2021-03-07
"5","win","positive",53,2021-03-07
"6","lucky","positive",50,2021-03-07
"7","hodl","positive",43,2021-03-07
"8","love","positive",43,2021-03-07
"9","celebration","positive",32,2021-03-07
"10","happy","positive",32,2021-03-07
"11","easy","positive",31,2021-03-07
"12","beautiful","positive",26,2021-03-07
"13","mar","negative",25,2021-03-07
"14","reward","positive",24,2021-03-07
"15","supporting","positive",23,2021-03-07
"16","won","positive",23,2021-03-07
"17","kindly","positive",22,2021-03-07
"18","break","negative",20,2021-03-07
"19","miss","negative",20,2021-03-07
"20","smart","positive",20,2021-03-07
"21","support","positive",20,2021-03-07
"22","top","positive",20,2021-03-07
"23","bullish","positive",19,2021-03-07
"24","cute","positive",18,2021-03-07
"25","freedom","positive",18,2021-03-07
"26","winners","positive",18,2021-03-07
"27","winning","positive",18,2021-03-07
"28","amazing","positive",17,2021-03-07
"29","pretty","positive",16,2021-03-07
"30","strong","positive",15,2021-03-07
"31","die","negative",14,2021-03-07
"32","enjoy","positive",14,2021-03-07
"33","exciting","positive",14,2021-03-07
"34","bonus","positive",13,2021-03-07
"35","glad","positive",13,2021-03-07
"36","hard","negative",13,2021-03-07
"37","trust","positive",13,2021-03-07
"38","fast","positive",12,2021-03-07
"39","resistance","negative",12,2021-03-07
"40","rich","positive",12,2021-03-07
"41","fun","positive",11,2021-03-07
"42","poor","negative",11,2021-03-07
"43","wow","positive",11,2021-03-07
"44","awesome","positive",10,2021-03-07
"45","discord","negative",9,2021-03-07
"46","hot","positive",9,2021-03-07
"47","nice","positive",9,2021-03-07
"48","safe","positive",9,2021-03-07
"49","bad","negative",8,2021-03-07
"50","bearish","negative",8,2021-03-07
"51","fomo","negative",8,2021-03-07
"52","gains","positive",8,2021-03-07
"53","relief","positive",8,2021-03-07
"54","stellar","positive",8,2021-03-07
"55","success","positive",8,2021-03-07
"56","afford","positive",7,2021-03-07
"57","broke","negative",7,2021-03-07
"58","cheap","negative",7,2021-03-07
"59","cloud","negative",7,2021-03-07
"60","incredible","positive",7,2021-03-07
"61","inevitable","negative",7,2021-03-07
"62","issues","negative",7,2021-03-07
"63","limits","negative",7,2021-03-07
"64","sin","negative",7,2021-03-07
"65","successful","positive",7,2021-03-07
"66","dump","negative",6,2021-03-07
"67","fear","negative",6,2021-03-07
"68","gain","positive",6,2021-03-07
"69","hate","negative",6,2021-03-07
"70","limited","negative",6,2021-03-07
"71","lose","negative",6,2021-03-07
"72","risk","negative",6,2021-03-07
"73","shit","negative",6,2021-03-07
"74","boom","positive",5,2021-03-07
"75","cashback","positive",5,2021-03-07
"76","crash","negative",5,2021-03-07
"77","crazy","negative",5,2021-03-07
"78","debt","negative",5,2021-03-07
"79","fake","negative",5,2021-03-07
"80","instantly","positive",5,2021-03-07
"81","leading","positive",5,2021-03-07
"82","lost","negative",5,2021-03-07
"83","mistakes","negative",5,2021-03-07
"84","promising","positive",5,2021-03-07
"85","recommend","positive",5,2021-03-07
"86","risks","negative",5,2021-03-07
"87","scam","negative",5,2021-03-07
"88","slow","negative",5,2021-03-07
"89","steal","negative",5,2021-03-07
"90","stronger","positive",5,2021-03-07
"91","valor","positive",5,2021-03-07
"92","volatility","negative",5,2021-03-07
"93","warning","negative",5,2021-03-07
"94","worse","negative",5,2021-03-07
"95","wrong","negative",5,2021-03-07
"96","beauty","positive",4,2021-03-07
"97","breaking","negative",4,2021-03-07
"98","broken","negative",4,2021-03-07
"99","clean","positive",4,2021-03-07
"100","correct","positive",4,2021-03-07
"101","damn","negative",4,2021-03-07
"102","dark","negative",4,2021-03-07
"103","dead","negative",4,2021-03-07
"104","faster","positive",4,2021-03-07
